mean_err,jerk,success,misalign,reaction,method,delta,trial
0.03093141930622231,0.0009946164208862775,0.7783333333333333,0.0,7.466666666666667,Naive-Async,0,33
0.03093141930622231,0.0009946164208862775,0.7783333333333333,0.0,7.466666666666667,VLASH,0,33
0.02729005644331873,0.0009332772475623408,0.7733333333333333,0.0,7.2,Sync,0,34
0.027858004995600143,0.0009332772475623408,0.76,0.0,7.2,Naive-Async,0,34
0.027858004995600143,0.0009332772475623408,0.76,0.0,7.2,VLASH,0,34
0.031642859401211365,0.0010019788042067122,0.7716666666666666,0.0,9.2,Sync,0,35
0.031642859401211365,0.0010019788042067122,0.7716666666666666,0.0,9.2,Naive-Async,0,35
0.031642859401211365,0.0010019788042067122,0.7716666666666666,0.0,9.2,VLASH,0,35
0.02970728972658564,0.0010473015874813772,0.77,0.0,7.466666666666667,Sync,0,36
0.035486708479021696,0.0010473015874813772,0.7433333333333333,0.0,8.533333333333333,Naive-Async,0,36
0.035486708479021696,0.0010473015874813772,0.7433333333333333,0.0,8.533333333333333,VLASH,0,36
0.02870113227367509,0.0009168973871605758,0.7733333333333333,0.0,6.933333333333334,Sync,0,37
0.02870113227367509,0.0009168973871605758,0.7733333333333333,0.0,6.933333333333334,Naive-Async,0,37
0.02870113227367509,0.0009168973871605758,0.7733333333333333,0.0,6.933333333333334,VLASH,0,37
0.027272630072002226,0.0009300924992183645,0.7983333333333333,0.0,6.533333333333333,Sync,0,38
0.027272630072002226,0.0009300924992183645,0.7983333333333333,0.0,6.533333333333333,Naive-Async,0,38
0.027272630072002226,0.0009300924992183645,0.7983333333333333,0.0,6.533333333333333,VLASH,0,38
0.031363928043319535,0.001115163525090177,0.7583333333333333,0.0,8.133333333333333,Sync,0,39
0.03713868212248419,0.001115163525090177,0.7316666666666667,0.0,9.2,Naive-Async,0,39
0.03713868212248419,0.001115163525090177,0.7316666666666667,0.0,9.2,VLASH,0,39
0.03380251762885834,0.0010005464596396928,0.7533333333333333,0.0,8.642857142857142,Sync,0,40
0.03380251762885834,0.0010005464596396928,0.7533333333333333,0.0,8.642857142857142,Naive-Async,0,40
0.03380251762885834,0.0010005464596396928,0.7533333333333333,0.0,8.642857142857142,VLASH,0,40
0.03510111449396396,0.001182888616186803,0.7466666666666667,0.0,10.4375,Sync,0,41
0.04022774442104773,0.001182888616186803,0.72,0.0,11.4375,Naive-Async,0,41
0.04022774442104773,0.001182888616186803,0.72,0.0,11.4375,VLASH,0,41
0.024112591598173985,0.0010424160864705855,0.8066666666666666,0.0,6.928571428571429,Sync,0,42
0.031236138344220333,0.0010424160864705855,0.7666666666666667,0.0,8.642857142857142,Naive-Async,0,42
0.031236138344220333,0.0010424160864705855,0.7666666666666667,0.0,8.642857142857142,VLASH,0,42
0.02905897644172727,0.0008777773183071518,0.7783333333333333,0.0,7.142857142857143,Sync,0,43
